time,x,y,z
11125002,-0.8092,-0.2777,9.7707
11125072,-0.8188,-0.2849,9.7300
11125142,-0.8356,-0.3041,9.6989
11125212,-0.8212,-0.2945,9.7085
11125282,-0.8212,-0.3160,9.6822
11125353,-0.8691,-0.3208,9.6726
11125422,-0.8667,-0.3376,9.6869
11125492,-0.8811,-0.3543,9.6558
11125562,-0.8978,-0.3376,9.6726
11125632,-0.8859,-0.3543,9.6558
11125702,-0.8954,-0.3543,9.6989
11125772,-0.8667,-0.3400,9.7109
11125842,-0.9026,-0.3424,9.7372
11125912,-0.8882,-0.3328,9.7300
11125982,-0.8811,-0.3352,9.7085
11126052,-0.8906,-0.3472,9.7085
11126122,-0.8667,-0.3400,9.7085
11126192,-0.8595,-0.3567,9.7229
11126262,-0.8452,-0.3472,9.6917
11126332,-0.8523,-0.3567,9.6869
11126402,-0.8404,-0.3591,9.6726
11126472,-0.8332,-0.3424,9.7157
11126542,-0.8308,-0.3591,9.7444
11126612,-0.8212,-0.3663,9.6678
11126682,-0.8428,-0.3735,9.6606
11126752,-0.8212,-0.3807,9.6367
11126822,-0.8332,-0.3639,9.6151
11126892,-0.8428,-0.3783,9.6606
11126962,-0.8499,-0.3855,9.6845
11127032,-0.8691,-0.3855,9.6534
11127102,-0.8571,-0.3831,9.6319
11127172,-0.8571,-0.3567,9.6606
11127242,-0.8260,-0.3424,9.6486
11127312,-0.8404,-0.3448,9.6702
11127382,-0.8475,-0.3376,9.6750
11127452,-0.8380,-0.3208,9.6965
11127522,-0.8452,-0.3208,9.6941
11127592,-0.8452,-0.3136,9.6869
11127662,-0.8475,-0.3160,9.7109
11127732,-0.8835,-0.3232,9.7205
11127802,-0.8715,-0.2993,9.7444
11127872,-0.8404,-0.2921,9.7324
11127942,-0.8356,-0.2753,9.7085
11128012,-0.7925,-0.2634,9.6989
11128082,-0.7901,-0.2586,9.6893
11128152,-0.7925,-0.2729,9.6654
11128222,-0.8021,-0.2825,9.6965
11128292,-0.8045,-0.2825,9.6798
11128362,-0.7877,-0.2873,9.6510
11128432,-0.7925,-0.2538,9.6917
11128502,-0.7733,-0.2514,9.6630
11128572,-0.7350,-0.2418,9.6486
11128642,-0.7135,-0.2370,9.6438
11128712,-0.7183,-0.2370,9.6534
11128782,-0.7063,-0.2322,9.6750
11128852,-0.7087,-0.2418,9.7109
11128922,-0.7254,-0.2442,9.7444
11128992,-0.7063,-0.2490,9.7300
11129062,-0.6943,-0.2466,9.7181
11129132,-0.6967,-0.2322,9.7324
11129202,-0.6704,-0.2322,9.7396
11129272,-0.6488,-0.2274,9.7420
11129342,-0.6440,-0.2274,9.7659
11129412,-0.6393,-0.2203,9.7492
11129482,-0.6369,-0.2203,9.7109
11129552,-0.6321,-0.2394,9.6654
11129622,-0.6584,-0.2538,9.6702
11129692,-0.6464,-0.2729,9.6582
11129762,-0.6608,-0.2849,9.6534
11129832,-0.6895,-0.2825,9.6606
11129902,-0.6776,-0.2921,9.6510
11129972,-0.6776,-0.2921,9.6175
11130042,-0.6656,-0.2993,9.6223
11130112,-0.6393,-0.2945,9.6486
11130182,-0.6321,-0.2849,9.6367
11130252,-0.6440,-0.2969,9.6822
11130322,-0.6440,-0.2873,9.6798
11130392,-0.6656,-0.3041,9.6031
11130462,-0.6871,-0.2993,9.6151
11130532,-0.6991,-0.2873,9.6007
11130602,-0.7207,-0.2849,9.6271
11130672,-0.7302,-0.2562,9.7229
11130742,-0.7374,-0.2586,9.7181
11130812,-0.7542,-0.2562,9.7013
11130882,-0.7590,-0.2801,9.6869
11130952,-0.7829,-0.3112,9.6678
11131022,-0.7949,-0.3208,9.6774
11131092,-0.8140,-0.3424,9.6869
11131162,-0.8236,-0.3472,9.6558
11131232,-0.8236,-0.3472,9.7252
11131302,-0.7997,-0.3519,9.7372
11131372,-0.8356,-0.3615,9.7468
11131442,-0.8380,-0.3496,9.7875
11131512,-0.8332,-0.3424,9.7348
11131582,-0.8428,-0.3424,9.7109
11131652,-0.8092,-0.3400,9.7276
11131722,-0.8045,-0.3591,9.7061
11131792,-0.7997,-0.3687,9.6917
11131862,-0.8068,-0.3711,9.6917
11131932,-0.8021,-0.3759,9.6606
11132002,-0.8284,-0.3663,9.6798
11132072,-0.8452,-0.3711,9.6822
11132142,-0.8188,-0.3687,9.6678
11132212,-0.8547,-0.3783,9.6941
11132282,-0.8284,-0.3711,9.6750
11132352,-0.8140,-0.3711,9.6774
11132422,-0.8452,-0.3663,9.6822
11132492,-0.8332,-0.3567,9.6582
11132562,-0.8452,-0.3639,9.6462
11132632,-0.8475,-0.3591,9.6606
11132702,-0.8523,-0.3663,9.6630
11132772,-0.8188,-0.3663,9.6462
11132842,-0.8452,-0.3687,9.6726
11132912,-0.8404,-0.3687,9.7181
11132982,-0.7973,-0.3639,9.7229
11133052,-0.8571,-0.3711,9.7564
11133122,-0.8212,-0.3711,9.7516
11133192,-0.8332,-0.3759,9.6989
11133262,-0.8643,-0.3663,9.7300
11133332,-0.8380,-0.3543,9.7348
11133402,-0.8428,-0.3615,9.7276
11133472,-0.8356,-0.3519,9.7205
11133542,-0.8475,-0.3591,9.6941
11133612,-0.8356,-0.3543,9.6534
11133682,-0.8523,-0.3567,9.6558
11133752,-0.8428,-0.3567,9.7348
11133822,-0.8045,-0.3663,9.7324
11133892,-0.8260,-0.3831,9.7564
11133962,-0.8021,-0.3663,9.7516
11134032,-0.8116,-0.3783,9.6869
11134102,-0.8380,-0.3591,9.7013
11134172,-0.8212,-0.3376,9.7085
11134242,-0.8308,-0.3519,9.7324
11134313,-0.8380,-0.3543,9.7276
11134382,-0.8595,-0.3783,9.7109
11134452,-0.8475,-0.4046,9.6917
11134522,-0.8332,-0.4070,9.6941
11134592,-0.8332,-0.4022,9.7061
11134662,-0.8428,-0.3879,9.6965
11134732,-0.8308,-0.3735,9.7109
11134802,-0.8643,-0.3735,9.6965
11134872,-0.8619,-0.3615,9.7013
11134942,-0.8475,-0.3998,9.6989
11135012,-0.8619,-0.4022,9.6989
11135082,-0.8523,-0.3950,9.6654
11135152,-0.8619,-0.4046,9.6391
11135222,-0.8643,-0.3783,9.6510
11135292,-0.8619,-0.3735,9.6295
11135362,-0.8547,-0.3639,9.6630
11135432,-0.8116,-0.3448,9.6558
11135502,-0.8332,-0.3543,9.6702
11135572,-0.8212,-0.3543,9.6702
11135642,-0.8260,-0.3735,9.6845
11135712,-0.8452,-0.3807,9.7133
11135782,-0.8188,-0.3687,9.7109
11135852,-0.8140,-0.3783,9.7324
11135922,-0.8021,-0.3663,9.7013
11135992,-0.8212,-0.3783,9.6774
11136062,-0.8092,-0.3759,9.6941
11136132,-0.8116,-0.3735,9.6989
11136203,-0.8284,-0.3879,9.6654
11136272,-0.8380,-0.4214,9.6726
11136342,-0.8356,-0.4238,9.6319
11136412,-0.8356,-0.4334,9.6175
11136482,-0.8356,-0.4334,9.6151
11136552,-0.8236,-0.4142,9.6438
11136622,-0.8236,-0.4166,9.6415
11136692,-0.8260,-0.4070,9.6127
11136762,-0.8188,-0.3879,9.6726
11136832,-0.7973,-0.3735,9.6319
11136902,-0.7925,-0.3735,9.6462
11136972,-0.7997,-0.3687,9.6630
11137042,-0.8188,-0.3615,9.6391
11137112,-0.8428,-0.3615,9.6558
11137182,-0.8619,-0.3711,9.6510
11137252,-0.8739,-0.3591,9.6582
11137322,-0.8619,-0.3759,9.6893
11137392,-0.8667,-0.3615,9.7109
11137462,-0.8595,-0.3496,9.6965
11137532,-0.8428,-0.3639,9.7085
11137602,-0.8356,-0.3591,9.7013
11137672,-0.8475,-0.3639,9.6486
11137742,-0.8356,-0.3615,9.6893
11137812,-0.8092,-0.3519,9.6654
11137882,-0.8428,-0.3567,9.6702
11137952,-0.8140,-0.3519,9.6845
11138022,-0.8188,-0.3591,9.6582
11138092,-0.8404,-0.3543,9.6941
11138162,-0.8236,-0.3448,9.6941
11138232,-0.8021,-0.3639,9.7085
11138302,-0.7997,-0.3519,9.7181
11138372,-0.8092,-0.3639,9.7133
11138442,-0.7997,-0.3663,9.7037
11138512,-0.8212,-0.3711,9.7109
11138582,-0.8499,-0.3926,9.7181
11138652,-0.8715,-0.4094,9.7037
11138722,-0.8595,-0.3974,9.7013
11138792,-0.8691,-0.4022,9.6774
11138862,-0.8452,-0.3735,9.6917
11138932,-0.8380,-0.3831,9.7085
11139002,-0.8308,-0.3998,9.7157
11139072,-0.8212,-0.3879,9.7324
11139142,-0.8284,-0.3998,9.7109
11139212,-0.8260,-0.3639,9.6965
11139282,-0.8404,-0.3615,9.6510
11139352,-0.8380,-0.3519,9.6486
11139422,-0.7973,-0.3424,9.6247
11139492,-0.8164,-0.3615,9.6582
11139562,-0.8068,-0.3472,9.6941
11139632,-0.7901,-0.3543,9.7061
11139702,-0.8116,-0.3591,9.7229
11139772,-0.7973,-0.3400,9.7085
11139842,-0.7853,-0.3615,9.7229
11139912,-0.7973,-0.3543,9.7181
11139982,-0.8236,-0.3591,9.7348
11140052,-0.8140,-0.3735,9.7013
11140122,-0.8188,-0.3831,9.6917
11140192,-0.8284,-0.3855,9.6726
11140262,-0.8332,-0.3687,9.6558
11140332,-0.8284,-0.3615,9.6678
11140402,-0.8452,-0.3496,9.6798
11140472,-0.8499,-0.3472,9.6654
11140542,-0.8452,-0.3759,9.6630
11140612,-0.8452,-0.3759,9.6798
11140682,-0.8332,-0.3687,9.6438
11140752,-0.8380,-0.3639,9.6199
11140822,-0.8308,-0.3783,9.6031
11140892,-0.8499,-0.4070,9.6175
11140961,-0.8499,-0.3998,9.6223
11141032,-0.8475,-0.4238,9.6702
11141102,-0.8236,-0.3831,9.6893
11141172,-0.8332,-0.3591,9.6726
11141242,-0.8212,-0.3687,9.6965
11141311,-0.8260,-0.3472,9.6941
11141382,-0.8595,-0.3615,9.6917
11141452,-0.8332,-0.3543,9.6774
11141522,-0.8404,-0.3615,9.6702
11141592,-0.8260,-0.3735,9.6774
11141662,-0.8212,-0.3711,9.6965
11141732,-0.8284,-0.3711,9.7252
11141802,-0.8380,-0.3496,9.6462
11141872,-0.8332,-0.3519,9.6462
11141942,-0.8667,-0.3639,9.6582
11142012,-0.8356,-0.3591,9.6223
11142082,-0.8236,-0.3783,9.7157
11142152,-0.8092,-0.3543,9.7109
11142222,-0.7757,-0.3400,9.6965
11142292,-0.7877,-0.3519,9.6941
11142362,-0.7949,-0.3400,9.6845
11142432,-0.8188,-0.3519,9.6893
11142502,-0.8116,-0.3543,9.6630
11142572,-0.8356,-0.3496,9.6606
11142642,-0.8236,-0.3519,9.6319
11142712,-0.7901,-0.3496,9.6151
11142782,-0.8236,-0.3615,9.6510
11142852,-0.7949,-0.3591,9.6486
11142922,-0.8164,-0.3615,9.6869
11142992,-0.8404,-0.3543,9.6845
11143062,-0.8092,-0.3424,9.6486
11143132,-0.7949,-0.3472,9.6654
11143202,-0.7877,-0.3400,9.6534
11143272,-0.8045,-0.3615,9.6726
11143342,-0.8021,-0.3687,9.7109
11143412,-0.8188,-0.3735,9.7300
11143482,-0.8404,-0.3879,9.6822
11143552,-0.8547,-0.3855,9.6750
11143622,-0.8260,-0.3926,9.6582
11143692,-0.8284,-0.4094,9.6127
11143762,-0.7877,-0.3974,9.6654
11143832,-0.7398,-0.3950,9.6822
11143902,-0.7350,-0.3759,9.6893
11143972,-0.6895,-0.3591,9.7229
11144042,-0.6728,-0.3448,9.7133
11144112,-0.6440,-0.3352,9.6965
11144182,-0.6273,-0.3304,9.6582
11144252,-0.6297,-0.3232,9.6295
11144322,-0.6536,-0.3448,9.6510
11144392,-0.6488,-0.3567,9.6893
11144462,-0.6440,-0.3472,9.7109
11144532,-0.6560,-0.3376,9.7851
11144602,-0.6608,-0.3112,9.8306
11144672,-0.6728,-0.2945,9.7636
11144742,-0.6752,-0.2945,9.7276
11144812,-0.6752,-0.2969,9.6750
11144882,-0.6440,-0.3136,9.6534
11144952,-0.6536,-0.3304,9.6534
11145022,-0.6752,-0.3400,9.7061
11145096,-0.6823,-0.3304,9.6989
11145162,-0.6776,-0.3112,9.6630
11145232,-0.6895,-0.2849,9.6845
11145302,-0.6823,-0.2825,9.7013
11145372,-0.6488,-0.2753,9.6893
11145442,-0.6488,-0.2682,9.7013
11145512,-0.6345,-0.2682,9.7348
11145582,-0.6273,-0.2658,9.6893
11145652,-0.6680,-0.2538,9.6989
11145722,-0.6608,-0.2729,9.7229
11145792,-0.6584,-0.2729,9.7061
11145862,-0.6800,-0.2682,9.7420
11145932,-0.6752,-0.2873,9.7444
11146002,-0.6752,-0.2897,9.7300
11146072,-0.6608,-0.2825,9.7109
11146142,-0.6081,-0.2777,9.6750
11146212,-0.5650,-0.2682,9.6965
11146282,-0.5650,-0.2562,9.6510
11146352,-0.5674,-0.2538,9.6630
11146422,-0.5794,-0.2538,9.6750
11146492,-0.5578,-0.2729,9.6534
11146562,-0.5363,-0.2682,9.6223
11146632,-0.5243,-0.2969,9.6055
11146702,-0.5124,-0.3017,9.6486
11146772,-0.5171,-0.2969,9.6726
11146842,-0.5124,-0.3160,9.7300
11146912,-0.5171,-0.2993,9.7588
11146982,-0.5363,-0.3136,9.7276
11147052,-0.5555,-0.2993,9.7252
11147122,-0.5698,-0.2873,9.6798
11147192,-0.6081,-0.3089,9.6726
11147262,-0.6177,-0.2921,9.7516
11147332,-0.6728,-0.2945,9.7157
11147402,-0.7302,-0.3017,9.7588
11147472,-0.7111,-0.2945,9.7540
11147542,-0.7422,-0.2993,9.5960
11147612,-0.7326,-0.3208,9.6079
11147682,-0.7470,-0.3280,9.6319
11147752,-0.7638,-0.3424,9.6175
11147822,-0.7757,-0.3639,9.6798
11147892,-0.7805,-0.3639,9.6989
11147962,-0.7709,-0.3687,9.6438
11148032,-0.7877,-0.3615,9.6606
11148102,-0.7877,-0.3711,9.6582
11148172,-0.8021,-0.3807,9.7181
11148242,-0.7805,-0.3735,9.7516
11148312,-0.8212,-0.3663,9.7636
11148382,-0.7997,-0.3519,9.7755
11148458,-0.7925,-0.3519,9.7109
11148522,-0.8068,-0.3472,9.7013
11148592,-0.7709,-0.3376,9.6869
11148662,-0.7709,-0.3543,9.6822
11148732,-0.7614,-0.3519,9.6630
11148802,-0.7709,-0.3759,9.6702
11148872,-0.7685,-0.3735,9.6798
11148943,-0.7709,-0.3567,9.6798
11149012,-0.7685,-0.3639,9.7037
11149082,-0.7805,-0.3735,9.7229
11149152,-0.8116,-0.3903,9.6822
11149222,-0.8164,-0.4046,9.6989
11149292,-0.8308,-0.3974,9.6893
11149362,-0.8164,-0.3687,9.5984
11149432,-0.7757,-0.3663,9.6415
11149502,-0.7781,-0.3519,9.6558
11149572,-0.7518,-0.3567,9.6438
11149642,-0.7350,-0.3591,9.7085
11149712,-0.7183,-0.3591,9.7037
11149782,-0.6967,-0.3663,9.6774
11149852,-0.7039,-0.3496,9.6893
11149922,-0.6847,-0.3567,9.7205
11149992,-0.6967,-0.3448,9.7133
11150062,-0.7015,-0.3328,9.7085
11150132,-0.7230,-0.3448,9.7085
11150202,-0.7518,-0.3352,9.6869
11150272,-0.7757,-0.3424,9.7061
11150342,-0.7805,-0.3304,9.7324
11150412,-0.7566,-0.3232,9.7109
11150482,-0.7326,-0.3280,9.6965
11150552,-0.7087,-0.3208,9.6893
11150622,-0.7159,-0.3328,9.6558
11150692,-0.7135,-0.3328,9.6606
11150762,-0.7350,-0.3208,9.6869
11150832,-0.7278,-0.3232,9.6869
11150902,-0.6991,-0.3041,9.7037
11150972,-0.6919,-0.3041,9.7516
11151042,-0.6943,-0.2921,9.7300
11151112,-0.7087,-0.2801,9.6893
11151182,-0.6800,-0.2634,9.6654
11151251,-0.6823,-0.2322,9.6462
11151322,-0.6704,-0.2251,9.6127
11151392,-0.6393,-0.2179,9.6750
11151462,-0.6823,-0.2370,9.7205
11151532,-0.6704,-0.2418,9.7013
11151602,-0.6488,-0.2394,9.7276
11151672,-0.6632,-0.2394,9.7013
