time,x,y,z
16340935,-0.6895,0.2107,9.4571
16341005,-0.7757,0.1915,9.4691
16341074,-0.9290,0.1867,9.4906
16341151,-1.0798,0.1772,9.5409
16341218,-1.2115,0.1700,9.5984
16341284,-1.3240,0.1508,9.5840
16341354,-1.3910,0.1125,9.5840
16341424,-1.4533,0.0838,9.6175
16341494,-1.4796,0.0622,9.5816
16341564,-1.5131,0.0359,9.6462
16341983,-1.5443,0.0311,9.5672
16342024,-1.5036,0.0359,9.6079
16342095,-1.4557,0.0431,9.5912
16342165,-1.4030,0.0359,9.6127
16342234,-1.3910,0.0287,9.6151
16342305,-1.3886,0.0096,9.6175
16342375,-1.3886,0.0024,9.5984
16342445,-1.3958,0.0048,9.6199
16342514,-1.3910,0.0168,9.5720
16342584,-1.3862,-0.0072,9.6223
16342655,-1.3815,-0.0168,9.6127
16342725,-1.3838,-0.0335,9.6103
16346731,-1.1851,-0.0072,9.6295
16346777,-1.0032,0.0622,9.5816
16346846,-0.8260,0.0982,9.5888
16346916,-0.6369,0.1484,9.5960
16346987,-0.6608,0.1245,9.6103
16347056,-0.6991,0.1173,9.5792
16347127,-0.7446,0.1269,9.6654
16347196,-0.8045,0.1077,9.6726
16347266,-0.8954,0.1125,9.7109
16347336,-1.0032,0.0766,9.7516
16347406,-1.1349,0.0575,9.6103
16347477,-1.2617,0.0383,9.5816
16511844,6.9959,0.1700,0.9194
16511916,9.6414,0.2298,-1.8100
16511984,9.8114,0.2298,-1.8244
16512054,9.5864,0.0048,-1.8148
16512124,9.5313,0.0886,-1.0965
16512194,9.5888,-0.0742,-1.2450
16512265,9.5457,-0.1460,-1.2857
16512334,9.5600,-0.1413,-1.2019
16512405,9.4786,-0.2227,-1.5993
16512474,9.4954,-0.1580,-1.5921
16512544,9.4212,-0.1652,-1.6999
16512615,9.4523,-0.1772,-1.9704
16512686,9.4499,-0.1891,-1.9920
16512754,9.4547,-0.2083,-1.9968
16512824,9.4212,-0.2346,-2.0399
16512894,9.3781,-0.2011,-1.9249
16512965,9.3111,-0.1030,-2.0183
16513035,9.3302,-0.0575,-1.9848
16513104,9.2943,-0.0263,-2.0901
16513174,9.3565,-0.0359,-2.3320
16513244,9.1913,0.0000,-2.3367
16513315,9.2033,0.0455,-2.4469
16513384,9.0980,0.0311,-2.3367
16513454,8.9974,0.0287,-2.2673
16513524,9.3972,0.1844,-2.2362
16513598,9.3374,0.2298,-2.3224
16513667,9.5720,0.3926,-2.3750
16513734,9.6438,0.4956,-2.2984
16513804,9.4691,0.2370,-2.3200
16513875,9.4571,0.2179,-2.1284
16513944,9.4403,0.1604,-2.1620
16514014,9.4379,0.0551,-2.2362
16514084,9.4379,0.0144,-2.2003
16514154,9.4739,-0.1173,-2.3607
16514226,9.4379,-0.1796,-2.2960
16514294,9.4906,-0.1269,-2.3990
16514368,9.4188,-0.1125,-2.5857
16514435,9.3158,-0.1125,-2.6887
16514506,9.2560,-0.1269,-2.7390
16514574,9.1650,-0.2442,-2.7701
16514644,9.2488,-0.0886,-2.6288
16514714,9.3829,0.0742,-2.6456
16514794,9.4092,0.0407,-2.5905
16514865,9.3948,0.0886,-2.5498
16514934,9.3805,-0.0048,-2.5881
16515005,9.3134,-0.0311,-2.4660
16515074,9.2751,0.0670,-2.5857
16515144,9.2464,0.1772,-2.5953
