time,x,y,z
1969903,-0.1532,2.8156,6.8761
1969953,0.4214,3.2370,9.5577
1970003,-1.8004,4.3479,9.5577
1970053,-2.7773,3.2753,11.4730
1970103,-3.1220,4.5011,10.2280
1970153,1.4174,2.4134,8.1594
1970203,1.7430,1.9728,7.8147
1970253,0.9960,2.6240,7.8721
1970303,0.5171,1.1684,11.0133
1970353,1.0918,2.1835,8.4467
1970403,-0.6704,2.6815,9.1746
1970453,-1.1875,2.6049,10.3238
1970503,-1.2067,3.1029,8.7724
1970553,-3.0263,3.3902,12.0859
1970603,-1.3982,2.8347,8.9064
1970653,-0.4405,2.2984,8.3127
1970703,-1.0151,2.5857,9.7300
1970753,1.0918,0.9194,11.9519
1970802,0.5363,1.2833,10.8218
1970853,1.2258,1.3599,8.3701
1970903,0.5171,1.6089,7.0677
1970953,-1.9920,2.6815,10.9559
1971003,-2.9497,3.4668,9.0214
1971053,-2.4325,2.8539,8.9447
1971103,-3.7924,4.5969,8.6957
1971153,-2.7581,3.6775,9.9790
1971203,-2.2027,4.1180,7.9679
1971253,-2.0686,4.3287,8.9256
1971303,-1.8387,3.8499,8.7724
1971353,-1.5897,3.9648,8.9830
1971403,-1.3408,3.6966,8.8298
1971453,-1.4174,3.5243,10.0173
1971503,-1.5514,3.8307,8.2744
1971553,-1.7813,3.7733,9.0405
1971603,-2.0303,3.9648,9.2895
1971653,-2.0303,4.0031,8.4276
1971703,-2.1452,3.7733,9.5193
1971753,-1.7430,4.0606,8.6191
1971803,-1.7621,3.7924,10.0365
1971853,-0.4405,2.7390,8.1403
1971903,0.6704,1.3408,8.9639
1971953,0.5746,0.5746,11.1474
1972002,0.6895,-0.4214,11.6646
1972053,0.9194,1.3408,8.8490
1972103,0.9002,1.5131,8.5234
1972153,0.7087,2.0303,8.8873
1972203,-0.1915,1.8387,11.2623
1972253,-0.6895,1.3982,13.0053
1972303,0.4022,1.7813,7.5082
1972353,0.2490,1.6281,9.0980
1972403,-0.0383,0.3448,10.8026
1972453,1.1109,0.1724,9.0597
1972503,1.6855,-0.9002,9.6151
1972552,0.7470,-0.2298,10.4770
1972603,0.7661,0.4597,9.1937
1972653,0.9577,-0.0958,10.1323
1972703,0.4022,0.3831,12.5839
1972753,0.0575,0.4405,11.2240
1972801,0.2682,1.8771,8.4084
1972853,-0.7470,3.2944,7.6423
1972904,0.0766,3.7733,7.7572
1972953,0.9577,2.9113,8.9639
1973003,0.4597,2.7773,9.7492
1973053,0.5363,2.7198,9.9216
1973103,0.0766,3.1603,10.4770
1973153,1.7813,2.4708,8.9064
1973203,1.2450,2.4900,9.4619
1973253,0.8619,2.4708,9.5002
1973303,0.3639,2.9880,9.4236
1973353,0.1341,2.7964,9.3853
1973403,0.5363,2.6240,9.2320
1973453,0.3065,3.0071,8.7340
1973503,0.2107,2.3942,8.9256
1973553,-0.5938,2.7581,10.0748
1973603,-0.8619,2.9880,9.9599
1973653,-1.6472,2.7390,9.4619
1973704,-1.5131,2.5857,9.4810
1973753,-1.3408,2.7773,9.4044
1973803,-1.2258,2.7964,9.6151
1973853,-1.6089,3.2944,8.7532
1973903,-1.6281,3.3136,9.4810
1973953,-1.5323,3.1795,9.3278
1974003,-1.5323,3.1987,9.0788
1974052,-2.0686,3.6200,8.0828
1974101,-1.1875,2.7964,10.4004
