'time','x','y','z'
771745,0.0575,-0.1341,9.7109
771795,0.0383,-0.1532,9.8833
771845,0.0766,-0.1341,9.8258
771895,0.0766,-0.1149,9.8450
771945,0.0575,-0.1724,9.7683
771996,0.1149,-0.0766,10.0556
772045,0.0766,-0.1532,9.7683
772095,0.0575,-0.1149,9.8258
772145,0.0766,-0.0958,9.8833
772195,0.1532,-0.0766,9.7683
772253,0.0766,-0.1149,9.8450
772303,0.0766,-0.1149,9.7875
772353,0.1341,-0.1341,9.8258
772405,0.0766,-0.1341,9.8258
772455,0.0958,-0.1532,9.9024
772506,0.1341,-0.1149,9.7683
772554,0.1341,-0.1149,9.8450
772605,0.1149,-0.1341,9.8258
772655,0.1532,-0.0958,9.8067
772705,0.1341,-0.1341,9.8258
772754,0.1532,-0.0958,9.8258
772805,0.1532,-0.1532,9.8067
772855,0.1532,-0.1149,9.8258
772905,0.1532,-0.1341,9.9790
772954,0.1724,-0.1532,9.8067
773005,0.1915,-0.0958,9.8450
773055,0.0575,-0.1915,9.8833
773106,0.1915,-0.0958,9.8067
773154,0.1532,-0.1724,9.8258
773205,0.1532,-0.1341,9.8450
773255,0.1532,-0.1724,9.8067
773306,0.1724,-0.1149,9.7683
773355,0.1341,-0.1915,9.8833
773405,0.1915,-0.1149,9.7683
773455,0.1915,-0.1724,9.7492
773506,0.1724,-0.1532,9.8258
773554,0.1532,-0.1724,9.8258
773605,0.1532,-0.1341,9.8067
773655,0.1915,-0.1724,9.8067
773706,0.1532,-0.1724,9.8067
773755,0.1724,-0.1532,9.8258
773805,0.1724,-0.1724,9.8067
773855,0.1532,-0.1149,9.8833
773905,0.1724,-0.2107,9.7683
773955,0.1915,-0.1149,9.9599
774005,0.2682,-0.0958,9.7683
774054,0.0958,-0.1532,9.8641
774106,0.1724,-0.1149,9.8258
774154,0.2298,-0.1341,9.7683
774204,0.1532,-0.1532,9.8450
774255,0.1532,-0.1724,9.8067
774306,0.1915,-0.1149,9.8258
774355,0.1532,-0.1915,9.8258
774406,0.1724,-0.1341,9.8641
774455,0.1915,-0.1724,9.7683
774505,0.1724,-0.1915,9.7875
774554,0.1915,-0.1341,9.7875
774605,0.1724,-0.1724,9.7875
774655,0.1724,-0.1532,9.8258
774706,0.1915,-0.1724,9.8067
774755,0.1915,-0.1341,9.8258
774805,0.2107,-0.1915,9.7492
774855,0.1724,-0.1724,9.7875
774905,0.1532,-0.2298,9.7492
774955,0.2298,-0.1915,9.7109
775005,0.2107,-0.1724,9.7683
775055,0.1149,-0.2107,9.8641
775106,0.2107,-0.1915,9.8641
775154,0.1915,-0.2107,9.8258
775205,0.1341,-0.1341,9.8641
775255,0.1532,-0.1915,9.8450
775306,0.1532,-0.1149,9.8450
775355,0.1341,-0.2107,9.8450
775405,0.2107,-0.0958,9.8258
775455,0.1724,-0.1724,9.7492
775506,0.1532,-0.1532,9.7875
775554,0.1532,-0.1532,9.8258
775605,0.1532,-0.1915,9.8641
775655,0.1341,-0.1341,9.8067
775708,0.1149,-0.1915,9.8450
775755,0.0958,-0.1532,9.8067
775805,0.1341,-0.1724,9.7683
775855,0.1341,-0.1341,9.8641
775905,0.0766,-0.1149,9.7875
775954,0.0766,-0.1724,9.9024
776005,0.1149,-0.1724,9.8067
776055,0.0383,-0.1724,9.8067
776104,0.0383,-0.1532,9.8258
776155,0.0383,-0.1724,9.7875
776205,0.0192,-0.1724,9.7875
776255,0.0192,-0.1915,9.8258
776306,0.0575,-0.1532,9.7875
776355,0.0192,-0.2107,9.7683
776405,0.0192,-0.1532,9.8258
776455,0.0000,-0.1915,9.8258
776504,0.0000,-0.1724,9.8067
776553,0.0000,-0.1915,9.7875
776603,0.0000,-0.1915,9.8258
776654,0.0192,-0.1532,9.9216
776705,0.0192,-0.2107,9.7109
776754,-0.0575,-0.1532,9.8450
776804,0.0000,-0.2107,9.7875
776855,0.0000,-0.1724,9.8450
776907,0.0000,-0.1532,9.8067
776954,-0.0192,-0.1724,9.7683
777004,0.0000,-0.1532,9.7109
777055,0.0000,-0.2107,9.8833
777105,0.0766,-0.1724,9.7492
777154,0.0192,-0.1915,9.7683
777205,0.0000,-0.2298,9.7300
777255,0.0000,-0.1532,9.8258
777305,-0.0192,-0.2107,9.7875
777354,-0.0383,-0.1532,9.8833
777404,0.0192,-0.1724,9.7300
777454,0.0192,-0.1532,10.0173
777505,0.0192,-0.1149,9.7683
777556,-0.0958,-0.1915,9.9024
777605,0.0192,-0.1341,9.8258
777655,0.0383,-0.1724,9.7492
777704,0.0000,-0.1341,9.8067
777755,-0.0383,-0.1724,9.8641
777804,0.0000,-0.1532,9.7683
777855,0.0000,-0.1915,9.7683
777905,0.0000,-0.1532,9.9024
777953,0.0192,-0.1724,9.7300
778005,0.0000,-0.1341,9.8450
778054,0.0383,-0.1724,9.8258
778106,0.0192,-0.1532,9.8258
778154,0.0383,-0.1532,9.8258
778205,0.0192,-0.1532,9.8450
778255,0.0383,-0.1915,9.7109
778306,0.0766,-0.1532,9.9982
778353,0.1724,-0.1341,9.6151
778405,0.0575,-0.0958,9.8258
778455,0.0192,-0.2107,9.9216
778506,0.0766,-0.1149,9.8450
778554,0.0958,-0.1724,9.8258
778605,0.1149,-0.1341,9.7683
778655,0.1149,-0.1724,9.7875
778705,0.0958,-0.1724,9.7875
778755,0.0958,-0.1915,9.8641
778805,0.1532,-0.1149,9.7875
778855,0.1532,-0.1915,9.8067
778905,0.1532,-0.1724,9.8450
778956,0.1532,-0.1532,9.8258
779005,0.1341,-0.1341,9.8450
779055,0.1532,-0.1915,9.8258
779105,0.1724,-0.1915,9.8258
779156,0.1724,-0.1724,9.8067
779205,0.1532,-0.1915,9.8641
779255,0.1532,-0.1915,9.8067
779306,0.1724,-0.1532,10.0365
779354,0.1915,-0.2107,9.7109
779405,0.1724,-0.1149,9.8833
779456,0.1149,-0.1532,9.9024
779506,0.2298,-0.1532,9.7875
779554,0.1724,-0.1532,9.8258
779605,0.1724,-0.1724,9.8450
779655,0.1724,-0.1724,9.8067
779706,0.1341,-0.1724,9.8258
779753,0.1724,-0.1724,9.8641
779804,0.2107,-0.1341,9.7875
779855,0.1724,-0.1915,9.7875
779906,0.1724,-0.1532,9.8067
779955,0.1724,-0.1532,9.8258
780005,0.1724,-0.1724,9.8067
780055,0.1915,-0.1915,9.8258
780106,0.1915,-0.1915,9.8258
780155,0.1724,-0.1915,9.7683
780205,0.1532,-0.1724,9.8833
780255,0.1532,-0.1915,9.7492
780306,0.2107,-0.2107,9.7109
780355,0.2490,-0.1341,9.7300
780404,0.0766,-0.2873,9.8641
780455,0.2107,-0.1532,9.8258
780506,0.1915,-0.2298,9.8450
780554,0.1724,-0.1341,9.8641
780605,0.1341,-0.1915,9.8258
780655,0.1915,-0.1724,9.7683
780706,0.1532,-0.2490,9.8833
780754,0.2298,-0.1532,9.8450
780805,0.1724,-0.2107,9.7683
780855,0.1532,-0.1915,9.8258
780905,0.1532,-0.1915,9.8067
780955,0.1915,-0.2107,9.7875
781005,0.1532,-0.1724,9.8450
781055,0.1724,-0.2107,9.7875
781106,0.1149,-0.2107,9.8258
781155,0.1341,-0.2298,9.7875
781205,0.1532,-0.1532,9.9024
781255,0.1341,-0.2298,9.7109
781306,0.0383,-0.1724,9.8258
781355,0.1149,-0.1724,9.8450
781405,0.1149,-0.2298,9.8067
781455,0.0766,-0.1724,9.8258
781506,0.0192,-0.2298,9.9216
781554,0.0383,-0.1724,9.7300
781605,0.0000,-0.2107,9.8641
781655,0.0383,-0.1915,9.8258
781706,0.0575,-0.1724,9.7875
781755,0.0383,-0.1724,9.7875
781805,0.0192,-0.1341,9.7875
781855,0.0192,-0.1724,9.8067
781906,0.0192,-0.1724,9.7683
781955,-0.0192,-0.1724,9.7875
782005,-0.0192,-0.1915,9.7683
782055,0.0192,-0.1724,9.9024
782106,-0.0383,-0.1915,9.7300
782155,-0.0958,-0.1532,9.8067
782205,0.0000,-0.1724,9.8450
782255,-0.0192,-0.2107,9.8067
782305,-0.0575,-0.1915,9.8450
782355,-0.0383,-0.1724,9.9024
782403,-0.0192,-0.1149,9.6726
782454,-0.0575,-0.1532,9.8450
782506,0.0192,-0.1341,9.7683
782554,-0.0192,-0.1915,9.7683
782605,-0.0192,-0.1341,9.7683
782655,0.0000,-0.1149,9.8258
782706,0.0192,-0.1915,9.7109
782754,0.0192,-0.1532,9.8258
782805,-0.0192,-0.1532,9.7683
782855,0.0383,-0.1532,9.7683
782905,0.0000,-0.1724,9.7683
782955,0.0000,-0.1915,9.8258
783005,0.0575,-0.1532,9.8258
783055,0.0575,-0.1724,9.8067
783106,0.0383,-0.0958,9.7875
783155,0.0000,-0.1532,9.8258
783205,0.0958,-0.1149,9.8067
783255,0.0766,-0.1532,9.8258
783306,0.1149,-0.1149,9.8258
783355,0.0766,-0.1341,9.7875
783405,0.0766,-0.0958,9.8450
783455,0.0958,-0.1724,9.8067
783506,0.0958,-0.1341,9.7492
783554,0.0766,-0.1341,9.7492
783605,0.0766,-0.1341,9.7109
783655,0.1149,-0.1532,9.7683
783706,0.0575,-0.1149,9.8258
783753,0.0383,-0.2107,9.8450
783805,0.1532,-0.0766,9.7683
783855,0.1341,-0.1532,9.7875
783906,0.0958,-0.0958,9.8258
783955,0.1341,-0.0958,9.7683
784005,0.1724,-0.0958,9.7492
784055,0.1149,-0.1149,9.8641
784106,0.1532,-0.0575,9.8641
784155,0.1341,-0.0958,9.7300
784205,0.1341,-0.0958,9.8067
784255,0.1341,-0.0958,9.8067
784306,0.1532,-0.0958,9.7875
784355,0.1532,-0.0766,9.7875
784405,0.1724,-0.0766,9.8258
784455,0.1532,-0.0958,9.8067
784505,0.1915,-0.0958,9.8067
784554,0.1915,-0.1341,9.7300
784605,0.2107,-0.0766,9.9216
784655,0.2873,-0.1341,9.5577
784706,0.1724,-0.1149,9.8641
784755,0.1149,-0.1724,9.9407
784805,0.2490,-0.1341,9.7492
784855,0.1915,-0.1915,9.8450
784905,0.1915,-0.1341,9.7492
784955,0.1915,-0.1915,9.8258
785005,0.1724,-0.1724,9.8067
785055,0.1915,-0.1532,9.8450
785106,0.2298,-0.1532,9.7875
785155,0.1915,-0.1915,9.8067
