time,x,y,z
639435,0.7087,0.4405,9.8067,
639485,0.7087,0.4405,9.8067,
639534,0.7087,0.4405,9.8067,
639585,0.7087,0.4405,9.8067,
639635,0.7087,0.4214,9.7875,
639685,0.7087,0.4405,9.8258,
639735,0.7087,0.4405,9.8258,
639785,0.7087,0.4405,9.8258,
639835,0.7087,0.4405,9.8067,
639885,0.7087,0.4405,9.8258,
639935,0.7087,0.4405,9.8067,
639985,0.7087,0.4405,9.8067,
640034,0.7087,0.4405,9.7875,
640084,0.7087,0.4405,9.8067,
640134,0.7087,0.4405,9.8067,
640185,0.7087,0.4405,9.7875,
640235,0.7087,0.4405,9.8067,
640285,0.7087,0.4405,9.8067,
640334,0.7087,0.4405,9.7875,
640385,0.7087,0.4405,9.8067,
640435,0.7087,0.4597,9.8067,
640485,0.7087,0.4405,9.8258,
640534,0.7087,0.4214,9.7875,
640585,0.6895,0.4405,9.8067,
640634,0.7087,0.4597,9.7875,
640685,0.6895,0.4405,9.8258,
640735,0.7087,0.4597,9.8067,
640785,0.7087,0.4597,9.8067,
640835,0.7087,0.4597,9.7875,
640885,0.6895,0.4597,9.8067,
640934,0.7087,0.4597,9.8067,
640985,0.6895,0.4405,9.8258,
641035,0.7087,0.4405,9.7875,
641085,0.7087,0.4405,9.8067,
641135,0.7087,0.4597,9.8258,
641185,0.7087,0.4405,9.8258,
641235,0.7087,0.4405,9.8067,
641285,0.7087,0.4405,9.8258,
641335,0.7087,0.4405,9.7875,
641384,0.6895,0.4405,9.8067,
641435,0.7087,0.4405,9.8258,
641485,0.7087,0.4405,9.7875,
641535,0.7087,0.4597,9.8067,
641585,0.7087,0.4405,9.8067,
641635,0.7087,0.4405,9.8067,
641685,0.7087,0.4405,9.8067,
641735,0.6895,0.4405,9.8067,
641785,0.6895,0.4405,9.8067,
641835,0.7087,0.4405,9.8067,
641885,0.7087,0.4405,9.8067,
641935,0.7087,0.4214,9.8067,
641985,0.7087,0.4597,9.8067,
642035,0.7087,0.4214,9.8067,
642085,0.7087,0.4405,9.8067,
642135,0.7087,0.4405,9.8067,
642185,0.7087,0.4405,9.8258,
642235,0.7087,0.4405,9.8067,
642285,0.7087,0.4405,9.8067,
642334,0.7087,0.4597,9.8067,
642385,0.7087,0.4597,9.8067,
642435,0.7087,0.4405,9.8258,
642485,0.7087,0.4405,9.8067,
642534,0.7087,0.4405,9.8258,
642585,0.7087,0.4405,9.8067,
642635,0.7087,0.4405,9.8067,
642685,0.7087,0.4405,9.7875,
642735,0.6895,0.4597,9.8258,
642785,0.6895,0.4405,9.8067,
642835,0.7087,0.4597,9.7875,
642885,0.7278,0.4405,9.8258,
642935,0.6895,0.4405,9.8067,
642985,0.7087,0.4405,9.8067,
643034,0.7087,0.4405,9.8067,
643085,0.7087,0.4405,9.8258,
643135,0.6895,0.4597,9.8067,
643185,0.6895,0.4405,9.8067,
643235,0.6895,0.4405,9.7875,
643285,0.7087,0.4405,9.8067,
643334,0.7087,0.4405,9.8067,
643385,0.7087,0.4597,9.8067,
643435,0.7087,0.4597,9.8067,
643485,0.7087,0.4405,9.8067,
643534,0.7087,0.4214,9.7875,
643585,0.7087,0.4405,9.8067,
643635,0.7087,0.4405,9.8067,
643685,0.7087,0.4405,9.8067,
643735,0.7087,0.4405,9.8067,
643785,0.7087,0.4405,9.8067,
643835,0.7087,0.4405,9.7875,
643885,0.7087,0.4405,9.8067,
643935,0.7087,0.4405,9.8067,
643985,0.7087,0.4405,9.8067,
644034,0.7087,0.4405,9.8067,
644085,0.7087,0.4405,9.8067,
644135,0.7087,0.4405,9.8067,
644185,0.7087,0.4405,9.8067,
644235,0.7087,0.4405,9.8067,
644285,0.7087,0.4405,9.8067,
644335,0.7087,0.4405,9.8258,
644385,0.7087,0.4405,9.8258,
644435,0.7087,0.4405,9.8067,
644485,0.7087,0.4597,9.8067,
644534,0.7087,0.4405,9.8067,
644585,0.6895,0.4405,9.8067,
644635,0.7087,0.4597,9.8067,
644685,0.7278,0.4405,9.8258,
644734,0.7087,0.4597,9.8067,
644784,0.7087,0.4597,9.8067,
644835,0.7278,0.4405,9.8067,
644885,0.7087,0.4405,9.8067,
644935,0.7278,0.4214,9.8067,
644985,0.7278,0.4214,9.8067,
645034,0.7087,0.4405,9.8067,
645085,0.7278,0.4405,9.8067,
645134,0.7087,0.4405,9.8067,
645185,0.7087,0.4597,9.7875,
645235,0.7278,0.4405,9.8258,
645285,0.7087,0.4405,9.7875,
645335,0.7087,0.4597,9.8258,
645385,0.7087,0.4405,9.8258,
645435,0.7087,0.4405,9.8067,
645485,0.7087,0.4597,9.8067,
645534,0.7087,0.4405,9.8067,
645585,0.7278,0.4597,9.8067,
645635,0.7278,0.4405,9.8258,
645685,0.7087,0.4405,9.8067,
645735,0.7087,0.4405,9.8067,
645785,0.7087,0.4405,9.8067,
645835,0.7087,0.4597,9.8067,
645885,0.7087,0.4405,9.8067,
645935,0.7087,0.4405,9.8067,
645985,0.7087,0.4405,9.8258,
646035,0.7087,0.4597,9.8067,
646085,0.7087,0.4405,9.8067,
646134,0.7087,0.4405,9.8067,
646185,0.7087,0.4597,9.8067,
646235,0.7087,0.4214,9.8067,
646285,0.7087,0.4405,9.7875,
646335,0.7087,0.4405,9.8258,
646385,0.7087,0.4405,9.8067,
646435,0.7087,0.4405,9.8067,
646485,0.7278,0.4405,9.8067,
646534,0.7087,0.4214,9.8067,
646585,0.7087,0.4597,9.8067,
646634,0.7087,0.4405,9.8258,
646685,0.7278,0.4405,9.8067,
646735,0.7087,0.4405,9.8258,
646785,0.7087,0.4597,9.8067,
646835,0.7087,0.4405,9.8067,
646885,0.7087,0.4405,9.7875,
646935,0.7087,0.4597,9.8258,
646985,0.7087,0.4214,9.8067,
647035,0.7087,0.4405,9.8067,
647085,0.7087,0.4597,9.8258,
647135,0.7087,0.4405,9.8067,
647185,0.7087,0.4405,9.8258,
647235,0.7087,0.4405,9.8067,
647285,0.7087,0.4597,9.8067,
647335,0.7087,0.4405,9.8067,
647385,0.7087,0.4405,9.7875,
647435,0.7087,0.4405,9.8067,
647485,0.7087,0.4405,9.8067,
647535,0.7087,0.4405,9.8067,
647585,0.7087,0.4597,9.7875,
647635,0.7087,0.4405,9.8067,
647685,0.6895,0.4405,9.8067,
647734,0.7087,0.4214,9.8067,
647785,0.7087,0.4405,9.8067,
647835,0.7087,0.4405,9.8067,
647885,0.7087,0.4405,9.8067,
647935,0.6895,0.4405,9.8067,
647985,0.7087,0.4405,9.8067,
648034,0.7087,0.4405,9.8067,
648085,0.7087,0.4405,9.8067,
648135,0.7087,0.4405,9.8067,
648185,0.7087,0.4405,9.8258,
648235,0.7087,0.4405,9.8067,
648285,0.7278,0.4597,9.8067,
648335,0.7087,0.4405,9.8258,
648385,0.7278,0.4214,9.8067,
648435,0.7087,0.4597,9.7875,
648484,0.7087,0.4405,9.8067,
648536,0.7087,0.4405,9.8067,
648583,0.7087,0.4405,9.8067,
648636,0.7278,0.4405,9.8067,
648683,0.7087,0.4405,9.8067,
648733,0.7087,0.4405,9.8067,
648783,0.7087,0.4405,9.8067,
648833,0.7087,0.4405,9.8067,
648885,0.7087,0.4405,9.7875,
648934,0.7087,0.4405,9.8258,
648985,0.7087,0.4405,9.7875,
649034,0.7087,0.4405,9.8258,
649084,0.7087,0.4214,9.8067,
649135,0.7087,0.4405,9.8067,
649185,0.7087,0.4405,9.8258,
649235,0.7087,0.4405,9.8067,
649286,0.7087,0.4405,9.8067,
649335,0.7278,0.4405,9.8258,
649385,0.7278,0.4405,9.8067,
649435,0.7278,0.4405,9.8067,
649485,0.7087,0.4405,9.8258,
649535,0.7087,0.4214,9.8067,
649585,0.7087,0.4405,9.8067,
649636,0.7278,0.4405,9.8067,
649686,0.7087,0.4214,9.8067,
649735,0.7087,0.4405,9.8067,
649785,0.7087,0.4405,9.7875,
649835,0.7278,0.4597,9.7875,
649886,0.7087,0.4405,9.8067,
649935,0.7087,0.4405,9.7875,
649985,0.7087,0.4405,9.8067,
650035,0.7087,0.4405,9.8067,
650086,0.7087,0.4405,9.7875,
650135,0.7278,0.4405,9.8067,
650185,0.7087,0.4405,9.8067,
